D:\proyecto_django_agrophia\static\js\components\toolbar_home.js	1
D:\proyecto_django_agrophia\static\js\components\toolbar_pedidos.js	1
D:\proyecto_django_agrophia\static\js\components\toolbar_products.js	1
D:\proyecto_django_agrophia\static\js\components\toolbar_shop.js	1
D:\proyecto_django_agrophia\static\js\components\toolbar_users.js	1
D:\proyecto_django_agrophia\static\js\components\unit-measure.js	0
D:\proyecto_django_agrophia\static\js\components\update_perfil.js	1
D:\proyecto_django_agrophia\static\js\components\update_product.js	1
D:\proyecto_django_agrophia\static\js\components\update_product2.js	0
D:\proyecto_django_agrophia\static\js\components\update_shop.js	0
D:\proyecto_django_agrophia\static\js\components\update_shop2.js	0
D:\proyecto_django_agrophia\static\js\components\update-perfil2.js	1
D:\proyecto_django_agrophia\static\js\components\usuario_editar_card.js	1
D:\proyecto_django_agrophia\static\js\components\usuarios_admin.js	0
D:\proyecto_django_agrophia\static\js\crear_usuario_admin.js	0
D:\proyecto_django_agrophia\static\js\mensaje_admin_modal.js	2
D:\proyecto_django_agrophia\static\js\productos_admin_actions.js	1
D:\proyecto_django_agrophia\static\js\productos_crear_admin.js	1
D:\proyecto_django_agrophia\static\js\productos_editar_admin.js	2
D:\proyecto_django_agrophia\static\js\tiendas_admin_actions.js	2
D:\proyecto_django_agrophia\static\js\usuarios_admin_actions.js	1
